src_ip,src_port,dst_ip,host,url,user_agent,response_size,status_code,attack,anomaly
3,35728,9,2,592,1,301,400,1,1
2,59534,9,2,292,84,1057,403,1,1
2,54408,7,14,526,48,0,400,1,1
3,54462,6,13,398,81,168,404,1,1
2,47986,7,14,51,84,1103,403,1,1
3,60332,9,2,332,84,1007,403,1,1
2,34470,11,4,647,84,845,403,1,1
3,38988,7,14,569,10,0,400,1,1
2,57704,9,2,41,84,1009,403,1,1
3,56066,21,14,232,84,1151,403,1,1
2,42074,9,2,251,84,1209,403,1,1
2,40992,9,2,331,84,1137,403,1,1
3,35700,9,2,127,84,1259,403,1,1
3,36318,7,14,116,84,838,403,1,1
3,36842,11,4,803,7,0,302,1,1
2,44664,7,14,324,84,878,403,1,1
3,47428,10,3,976,74,303,404,1,1
2,60464,11,4,638,84,0,403,1,1
3,40664,11,4,794,21,980,400,1,1
2,45310,6,13,598,64,168,404,1,1
2,44402,6,13,358,84,168,404,1,1
3,44894,7,14,593,68,0,400,1,1
3,57338,11,4,617,84,2403,403,1,1
2,47030,9,2,476,7,301,400,1,1
2,36660,6,13,120,84,168,404,1,1
3,57626,10,3,896,84,1461,403,1,1
2,42940,10,3,1019,28,305,404,1,1
3,36156,11,4,740,76,980,400,1,1
3,51992,10,3,839,84,1003,403,1,1
2,47852,9,2,38,84,1099,403,1,1
3,35360,21,14,64,84,826,403,1,1
2,56002,11,4,761,44,980,400,1,1
3,44572,10,3,1006,18,306,404,1,1
3,38896,6,13,423,52,168,404,1,1
2,57700,11,4,609,84,0,302,1,1
3,46020,11,4,785,27,980,400,1,1
2,45666,7,14,256,84,801,403,1,1
3,36404,6,13,269,84,168,404,1,1
3,45172,7,14,524,68,0,400,1,1
3,51898,11,4,669,84,1077,403,1,1
2,56206,6,13,316,84,168,404,1,1
2,54042,7,14,12,84,718,403,1,1
3,53934,21,14,474,0,0,400,1,-1
2,57430,9,2,265,84,0,403,1,1
2,58474,21,14,435,9,0,400,1,1
2,58654,11,4,620,84,0,403,1,1
2,35436,6,13,322,84,168,404,1,1
3,55964,6,13,514,71,570,404,1,1
2,44880,6,13,27,84,168,404,1,1
2,58346,10,3,882,84,1194,403,1,1
3,56330,10,3,981,42,383,404,1,1
3,35964,9,2,326,84,0,403,1,1
2,59554,6,13,447,13,168,404,1,1
2,57746,21,14,274,84,1367,403,1,1
2,42210,11,4,656,84,1211,403,1,1
2,46190,9,2,169,84,908,403,1,1
3,58552,6,4,803,84,168,404,1,1
3,54020,11,4,709,84,1738,403,1,1
2,39960,21,14,309,84,962,403,1,1
2,43872,6,13,829,80,168,404,1,1
3,40802,10,3,943,84,734,403,1,1
3,38252,21,14,0,84,0,200,1,1
2,45822,7,14,76,84,1026,403,1,1
2,45002,7,14,240,84,1130,403,1,1
3,59584,6,13,310,84,168,404,1,1
2,57422,11,4,667,84,1106,403,1,1
3,51982,11,4,816,59,980,400,1,1
2,42014,21,14,24,84,770,403,1,1
2,37614,10,3,837,78,304,404,1,1
2,40454,21,14,96,84,718,403,1,1
3,60314,9,2,366,24,301,400,1,1
3,35902,9,2,576,34,301,400,1,1
2,49524,11,4,682,84,1167,403,1,1
2,44842,7,14,77,84,1537,403,1,1
2,58702,10,3,944,84,1137,403,1,1
3,33384,21,14,61,84,954,403,1,1
2,34130,10,3,884,84,1184,403,1,1
2,59216,7,14,568,67,0,400,1,1
2,39226,21,14,78,84,1537,403,1,1
3,33994,7,14,91,84,607,403,1,1
3,39998,11,4,639,84,892,403,1,1
2,51338,9,2,31,84,1031,403,1,1
3,34518,10,3,930,84,1140,403,1,1
3,53134,11,4,803,23,0,302,1,1
2,53592,11,4,610,29,499,403,1,1
2,48492,11,4,649,84,1048,403,1,1
2,53972,11,4,765,29,980,400,1,1
3,56666,9,2,596,28,0,403,1,1
3,41444,9,2,74,84,898,403,1,1
3,39492,9,2,571,46,301,400,1,1
2,46386,6,13,221,84,0,403,1,1
2,50934,10,3,880,84,1199,403,1,1
3,47640,9,2,263,84,0,403,1,1
2,43368,11,4,757,80,980,400,1,1
3,42162,21,14,4,11,245,404,1,1
3,54500,6,13,488,81,168,404,1,1
2,45160,6,13,188,84,168,404,1,1
2,45598,6,13,98,84,168,404,1,1
2,48056,9,2,119,84,849,403,1,1
2,40882,21,14,36,84,756,403,1,1
3,41846,9,2,546,56,301,400,1,1
2,56778,11,4,629,84,1119,403,1,1
3,46920,11,4,708,84,1738,403,1,1
3,43752,11,4,803,35,0,302,1,1
2,46700,9,2,270,84,818,403,1,1
2,41050,11,4,713,84,1612,403,1,1
2,49650,6,13,146,84,168,404,1,1
3,54302,6,13,282,84,168,404,1,1
2,47182,21,14,305,84,725,403,1,1
3,48538,6,13,211,84,168,404,1,1
3,54380,9,2,404,45,301,400,1,1
2,35402,6,13,147,84,168,404,1,1
2,34228,6,13,471,13,168,404,1,1
2,45122,7,14,22,84,2155,403,1,1
2,38312,6,13,107,84,168,404,1,1
3,59212,6,13,485,43,168,404,1,1
2,59570,11,4,684,84,1248,403,1,1
2,57970,10,3,963,41,305,404,1,1
3,51516,10,3,1005,63,309,404,1,1
2,41670,21,14,238,84,1133,403,1,1
2,45246,6,13,577,64,168,404,1,1
2,38350,10,3,938,84,1059,403,1,1
3,40244,11,4,786,21,980,400,1,1
2,56698,21,14,271,84,739,403,1,1
3,51404,10,3,866,84,825,403,1,1
2,48528,9,2,197,84,1389,403,1,1
2,41466,11,4,679,84,3150,403,1,1
2,55382,7,14,421,48,0,400,1,1
1,54152,12,5,833,5,1435,200,1,-1
2,53608,11,4,750,29,980,400,1,1
3,41694,6,13,578,6,0,403,1,1
3,60244,21,14,353,84,795,403,1,1
3,45604,6,13,395,3,168,404,1,1
2,50000,10,3,858,84,960,403,1,1
3,42092,9,2,387,56,301,400,1,1
2,41158,21,14,338,84,696,403,1,1
2,58770,10,3,917,84,1167,403,1,1
2,57202,9,2,307,84,953,403,1,1
2,60462,7,14,585,67,252,404,1,1
3,59994,6,13,43,84,168,404,1,1
3,53078,11,4,803,23,0,302,1,1
3,40072,7,14,207,84,794,403,1,1
2,52110,11,4,706,84,1300,403,1,1
3,56058,6,13,562,48,168,404,1,1
2,37892,7,14,198,84,1115,403,1,1
2,49996,9,2,458,37,301,400,1,1
2,35202,11,4,696,84,1106,403,1,1
3,58950,11,4,688,84,1441,403,1,1
3,44118,6,13,103,84,168,404,1,1
2,43866,11,4,783,80,526,403,1,1
2,60036,9,2,104,84,1182,403,1,1
3,47384,9,2,84,84,804,403,1,1
2,56108,11,4,775,44,980,400,1,1
3,37434,6,13,10,69,168,404,1,1
2,50074,11,4,641,84,1054,403,1,1
2,60902,11,4,677,84,1141,403,1,1
3,46626,10,3,881,84,1024,403,1,1
3,55738,9,2,373,47,301,400,1,1
3,51438,10,3,857,84,971,403,1,1
3,41656,11,4,803,84,980,400,1,1
3,52422,10,3,877,84,1236,403,1,1
2,50756,9,2,49,84,1215,403,1,1
3,40718,21,14,273,84,1142,403,1,1
3,40716,6,13,535,52,168,404,1,1
2,51646,11,4,717,84,1111,403,1,1
3,56066,6,13,482,71,570,404,1,1
2,57220,11,4,760,57,980,400,1,1
3,53496,6,13,252,84,168,404,1,1
3,47366,6,13,534,70,168,404,1,1
2,36480,10,3,901,84,1095,403,1,1
2,56852,9,2,47,84,952,403,1,1
3,54516,9,2,430,17,301,400,1,1
3,55136,6,13,385,48,168,404,1,1
3,51368,11,4,821,59,980,400,1,1
3,33384,10,3,952,59,344,404,1,1
2,35626,9,2,48,84,0,403,1,1
3,55662,11,4,803,84,980,400,1,1
2,36916,9,2,56,84,323,414,1,1
3,52700,9,2,503,52,301,400,1,1
2,59060,9,2,135,84,1374,403,1,1
2,40326,9,2,219,84,0,403,1,1
2,48956,10,3,911,84,1064,403,1,1
2,57030,11,4,777,57,980,400,1,1
3,51866,11,4,772,32,980,400,1,1
3,55742,10,3,921,84,1145,403,1,1
2,38818,11,4,801,61,980,400,1,1
2,60132,11,4,700,84,1085,403,1,1
3,60130,6,13,294,84,168,404,1,1
3,49116,21,14,28,84,570,403,1,1
2,39040,10,3,902,84,2535,403,1,1
3,46996,10,3,1007,74,308,404,1,1
2,48094,7,14,117,84,1099,403,1,1
3,57288,10,3,984,42,306,404,1,1
3,56478,11,4,739,17,980,400,1,1
2,44346,11,4,790,40,980,400,1,1
2,38710,11,4,774,61,980,400,1,1
3,59180,6,13,538,48,168,404,1,1
3,35944,9,2,2,1,282,404,1,1
2,44374,7,14,217,84,953,403,1,1
3,43016,21,14,45,84,873,403,1,1
2,60186,11,4,720,84,1274,403,1,1
2,50622,11,4,726,84,920,403,1,1
2,59486,10,3,847,84,1120,403,1,1
2,43932,11,4,732,84,0,403,1,1
2,44196,7,14,345,84,1286,403,1,1
3,41790,9,2,470,56,301,400,1,1
2,44868,11,4,640,84,1119,403,1,1
2,34478,7,14,29,84,952,403,1,1
3,42016,11,4,645,84,1785,403,1,1
3,47926,9,2,368,18,301,400,1,1
2,53826,11,4,753,29,980,400,1,1
3,51768,9,2,301,84,1218,403,1,1
3,43388,7,14,304,84,735,403,1,1
2,43592,10,3,1004,17,306,404,1,1
3,51182,10,3,967,29,307,404,1,1
3,38584,11,4,817,52,980,400,1,1
2,33870,10,3,927,84,1533,403,1,1
2,55572,10,3,841,84,856,403,1,1
2,45290,6,13,328,84,168,404,1,1
1,54654,8,1,832,16,3602,200,1,-1
2,58884,21,14,200,84,1112,403,1,1
2,37422,9,2,317,84,1201,403,1,1
3,47072,6,13,85,84,168,404,1,1
3,52322,6,13,259,84,168,404,1,1
3,48172,6,13,415,71,570,404,1,1
3,56484,10,3,956,42,306,404,1,1
3,45328,9,2,455,68,301,400,1,1
3,42820,6,13,298,84,168,404,1,1
3,50620,21,14,559,68,0,400,1,1
2,51854,6,13,182,84,168,404,1,1
2,48006,9,2,382,57,301,400,1,1
3,46780,11,4,623,84,1164,403,1,1
3,34712,10,3,1000,42,305,404,1,1
2,35344,6,13,149,84,168,404,1,1
2,46206,7,14,199,84,1115,403,1,1
2,58002,21,14,434,55,0,400,1,1
3,35550,6,13,32,84,168,404,1,1
2,35976,6,13,260,84,168,404,1,1
2,44490,11,4,768,40,980,400,1,1
2,57234,9,2,20,84,2234,403,1,1
3,37014,11,4,803,7,0,302,1,1
2,52622,6,13,254,84,168,404,1,1
2,54174,7,14,253,84,957,403,1,1
3,44718,6,13,515,3,168,404,1,1
2,42356,10,3,870,84,818,403,1,1
2,41608,11,4,701,84,1056,403,1,1
3,57088,11,4,764,17,980,400,1,1
3,38904,21,14,365,11,0,400,1,1
3,52118,10,3,883,84,1247,403,1,1
3,60666,9,2,95,84,1030,403,1,1
2,59208,11,4,663,84,944,403,1,1
3,34252,11,4,675,84,1609,403,1,1
2,55540,6,13,347,84,168,404,1,1
2,58316,10,3,986,21,306,404,1,1
3,45850,6,13,436,31,0,403,1,1
2,39884,11,4,770,9,980,400,1,1
3,44942,9,2,481,38,0,403,1,1
3,58660,7,14,63,84,1430,403,1,1
2,52614,6,13,165,84,168,404,1,1
2,56488,7,14,227,84,906,403,1,1
2,41610,9,2,50,84,1182,403,1,1
3,59970,6,13,403,43,168,404,1,1
2,43500,21,14,299,84,803,403,1,1
2,47854,9,2,40,84,910,403,1,1
3,40098,9,2,441,33,301,400,1,1
2,45710,7,14,343,84,887,403,1,1
3,36660,9,2,389,18,301,400,1,1
2,59978,11,4,689,84,1399,403,1,1
2,58816,11,4,616,84,1299,403,1,1
2,58398,11,4,730,84,1176,403,1,1
2,33836,7,14,383,85,0,400,1,1
3,52720,9,2,377,52,301,400,1,1
2,59590,10,3,979,18,303,404,1,1
2,39944,9,2,87,84,705,403,1,1
3,35974,11,4,763,19,980,400,1,1
2,44136,6,13,21,84,168,404,1,1
3,46290,7,14,114,84,1040,403,1,1
2,38556,9,2,318,84,1201,403,1,1
2,42502,6,13,362,80,168,404,1,1
2,59984,6,13,573,30,168,404,1,1
3,32800,21,14,493,43,0,400,1,1
3,53058,9,2,39,84,910,403,1,1
3,51542,6,13,312,84,168,404,1,1
2,59046,9,2,486,25,301,400,1,1
3,39846,9,2,541,33,301,400,1,1
2,36132,21,14,113,84,1796,403,1,1
2,42974,11,4,710,84,2378,403,1,1
2,39016,21,14,125,84,734,403,1,1
3,47384,7,14,106,84,1043,403,1,1
3,56138,21,14,323,84,1337,403,1,1
2,35634,11,4,646,84,883,403,1,1
3,57928,7,14,471,63,238,404,1,1
